ALKROGINTIE,ALKROGV?GEN,0,0,0,0,963
HELSINGINTIE,HELSINGFORSV?GEN,132,166,131,165,920
TOLKKISTENTIE,TOLKISV?GEN,134,190,133,189,930
TOLKKISTENTIE,TOLKISV?GEN,82,132,81,131,930
TREKSIL?NTIE,DR?GSBYV?GEN,208,280,207,279,930
TOLKKISTENTIE,TOLKISV?GEN,494,554,493,553,930
,,0,0,0,0,940
HAIKKOONTIE,HAIKOV?GEN,2,8,1,7,930
TOLKKISTENTIE,TOLKISV?GEN,326,326,325,325,930
RAJAPORTINTIE,R?PORTSV?GEN,0,0,0,0,963
HAIKKOONTIE,HAIKOV?GEN,64,72,63,71,930
TOLKKISTENTIE,TOLKISV?GEN,192,228,191,227,930
HAMARINTIE,HAMMARSV?GEN,0,0,0,0,963
HAMARINTIE,HAMMARSV?GEN,0,0,0,0,963
ERNESTANTIE,ERNESTASV?GEN,42,50,41,49,940
HELSINGINTIE,HELSINGFORSV?GEN,270,288,269,287,920
KAIVANTOTIE,L?NGFALLSV?GEN,22,28,23,29,965
ERNESTANTIE,ERNESTASV?GEN,2,10,1,9,964
LEILITIE,KUTTINGV?GEN,0,0,0,0,965
KAIVANTOTIE,L?NGFALLSV?GEN,30,30,31,31,965
S?RVINPOLKU,SOVELSTIGEN,0,0,3,5,970
LEILITIE,KUTTINGV?GEN,0,0,0,0,965
ERNESTANTIE,ERNESTASV?GEN,24,24,23,23,964
SAMMALPOLKU,MOSSTIGEN,2,4,0,0,965
S?RVINPOLKU,SOVELSTIGEN,2,2,1,1,965
ERNESTANTIE,ERNESTASV?GEN,34,40,33,39,964
HEVOSHAANTIE,H?STHAGSV?GEN,14,20,9,13,965
ERNESTANTIE,ERNESTASV?GEN,26,32,25,31,964
P?IV?L?ISPOLKU,DAGSVERKARSTIGEN,0,0,1,5,965
P?IV?L?ISPOLKU,DAGSVERKARSTIGEN,0,0,7,11,965
HELSINGINTIE,HELSINGFORSV?GEN,234,240,233,239,920
KAIVANTOTIE,L?NGFALLSV?GEN,2,6,1,5,965
KOIVUM?ENTIE,BJ?RKBACKAV?GEN,0,0,1,1,965
KAIVANTOTIE,L?NGFALLSV?GEN,8,20,7,21,965
HEIN?POLKU,H?STIGEN,0,0,0,0,965
KYNT?J?NTIE,PL?JARV?GEN,2,16,1,1,965
KOIVUM?ENTIE,BJ?RKBACKAV?GEN,0,0,3,5,965
TUOHIKONTINTIE,N?VERKONTSV?GEN,0,0,1,3,970
KAIVANTOTIE,L?NGFALLSV?GEN,0,0,0,0,965
TUOHIKONTINTIE,N?VERKONTSV?GEN,0,0,5,9,965
KAIVANTOTIE,L?NGFALLSV?GEN,0,0,0,0,965
KAIVANTOTIE,L?NGFALLSV?GEN,0,0,0,0,965
KAIVANTOKUJA,L?NGFALLSGR?ND,0,0,0,0,965
PIENTEOLLISUUSTIE,SM?INDUSTRIV?GEN,2,4,1,3,964
RAIVAAJANTIE,R?JAREV?GEN,2,4,1,3,965
PIENTEOLLISUUSTIE,SM?INDUSTRIV?GEN,0,0,0,0,964
HAKKUUKUJA,HYGGESGR?ND,2,6,0,0,965
RAIVAAJANTIE,R?JAREV?GEN,14,18,9,9,965
HITSAAJANTIE,SVETSARENS V?G,0,0,0,0,970
KANTOKUJA,STUBBGR?ND,0,0,1,5,965
PIENTEOLLISUUSTIE,SM?INDUSTRIV?GEN,0,0,13,17,964
SORVAAJANTIE,SVARVARENS V?G,0,0,1,11,965
PIENTEOLLISUUSTIE,SM?INDUSTRIV?GEN,0,0,0,0,964
RAUDOITTAJANTIE,ARMERARV?GEN,0,0,0,0,965
PIENTEOLLISUUSTIE,SM?INDUSTRIV?GEN,16,26,19,27,964
VIILAAJANTIE,FILARENS V?G,2,12,0,0,965
